MMSI,IMO,Name,Skylight Link,dark_rendezvous,eo_landsat_8_9,fishing_activity_history,standard_rendezvous,viirs
"432,666,000",9464388,AEGEAN HIGHWAY,https://app.skylight.earth/vesseldetails/432666000?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"304,807,000",7727073,ANIEK,https://app.skylight.earth/vesseldetails/304807000?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"431,777,000",9335953,APHRODITE LEADER,https://app.skylight.earth/vesseldetails/431777000?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"357,441,000",9414266,ARGENT HIBISCUS,https://app.skylight.earth/vesseldetails/357441000?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"235,109,137",9703019,BW LEO,https://app.skylight.earth/vesseldetails/235109137?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"215,230,000",9317975,CMA CGM WHITE SHARK,https://app.skylight.earth/vesseldetails/215230000?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,2,0,0,0,2
"416,001,344",8553041,DA FENG NO.7,https://app.skylight.earth/vesseldetails/416001344?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,7,0
"416,002,222",8534423,DA-SHENG-YI-,https://app.skylight.earth/vesseldetails/416002222?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,9,0,0
"563,239,900",9935284,EVER MILD,https://app.skylight.earth/vesseldetails/563239900?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,0,0,1
"412,440,807",9931006,FU YUAN YU 7007,https://app.skylight.earth/vesseldetails/412440807?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,0,0
"412,549,509",9930870,FU YUAN YU 7010,https://app.skylight.earth/vesseldetails/412549509?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,4,0,0
"412,549,511",9930882,FU YUAN YU 7011,https://app.skylight.earth/vesseldetails/412549511?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,3,0,0
"412,549,512",9930894,FU YUAN YU 7012,https://app.skylight.earth/vesseldetails/412549512?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,0,0
"412,549,487",8573106,FU YUAN YU 8281,https://app.skylight.earth/vesseldetails/412549487?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,0,0
"412,549,488",8573118,FU YUAN YU 8282,https://app.skylight.earth/vesseldetails/412549488?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,0,0
"412,549,491",8573132,FU YUAN YU 8285,https://app.skylight.earth/vesseldetails/412549491?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,2,0,1,0,0
"412,549,495",8573168,FU YUAN YU 8288,https://app.skylight.earth/vesseldetails/412549495?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,2,0,0,0,0
"412,440,682",9869485,FU YUAN YU 8674,https://app.skylight.earth/vesseldetails/412440682?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,2,0,0
"412,549,217",9900760,FU YUAN YU8293,https://app.skylight.earth/vesseldetails/412549217?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,0,0
"412,549,365",9933729,FUYUANYU 8637,https://app.skylight.earth/vesseldetails/412549365?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,0,0
"412,549,367",9934515,FUYUANYU 8639,https://app.skylight.earth/vesseldetails/412549367?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,4,0,0
"412,549,369",9934539,FUYUANYU 8641,https://app.skylight.earth/vesseldetails/412549369?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"412,549,371",9934541,FUYUANYU 8642,https://app.skylight.earth/vesseldetails/412549371?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,2,0,0
"412,549,373",9934565,FUYUANYU 8644,https://app.skylight.earth/vesseldetails/412549373?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"412,440,223",8549246,FUYUANYU667,https://app.skylight.earth/vesseldetails/412440223?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,3,0,0,0,0
"412,440,366",8548577,FUYUANYU677,https://app.skylight.earth/vesseldetails/412440366?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"412,549,489",8573120,FUYUANYU8283,https://app.skylight.earth/vesseldetails/412549489?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,4,0,5,0,0
"412,549,492",8573144,FUYUANYU8286,https://app.skylight.earth/vesseldetails/412549492?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,2,0,2,0,0
"412,549,496",8573170,FUYUANYU8289,https://app.skylight.earth/vesseldetails/412549496?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,0,0
"412,549,497",9929156,FUYUANYU8290,https://app.skylight.earth/vesseldetails/412549497?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,0,0
"412,549,363",8635,FUYUANYU8635,https://app.skylight.earth/vesseldetails/412549363?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,5,0,0,0,0
"412,549,374",9934577,FUYUANYU8645,https://app.skylight.earth/vesseldetails/412549374?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"412,549,375",9934589,FUYUANYU8646,https://app.skylight.earth/vesseldetails/412549375?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,2,0,0
"432,629,000",9339820,GEORGIA HIGHWAY,https://app.skylight.earth/vesseldetails/432629000?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"319,409,000",9561277,GLORIOUS ACE,https://app.skylight.earth/vesseldetails/319409000?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"416,002,995",8555178,HE SHUN NO 6,https://app.skylight.earth/vesseldetails/416002995?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,0,2,0
"353,105,000",9726700,HORIZON HIGHWAY,https://app.skylight.earth/vesseldetails/353105000?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"416,000,013",8550702,HORNG YIH FWU NO268,https://app.skylight.earth/vesseldetails/416000013?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,0,1,0
"416,000,411",8550946,HORNG YIH FWU NO368,https://app.skylight.earth/vesseldetails/416000411?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,0,8,0
"636,018,670",9815604,IBERIAN SEA,https://app.skylight.earth/vesseldetails/636018670?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"432,507,000",9326263,INARIMARU NO.85,https://app.skylight.earth/vesseldetails/432507000?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,0,0
"353,791,000",9300879,IYO,https://app.skylight.earth/vesseldetails/353791000?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"416,004,363",8547274,JIA CHENG NO.168,https://app.skylight.earth/vesseldetails/416004363?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,2,1,0
"416,007,494",9959175,JIA CHENG NO.268,https://app.skylight.earth/vesseldetails/416007494?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,0,2,0
"416,000,405",129,JIN CHINQ FUH NO 62,https://app.skylight.earth/vesseldetails/416000405?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,1,0,0
"416,003,063",,JINFU-SHENG,https://app.skylight.earth/vesseldetails/416003063?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,2,0,1,0,0
"412,209,143",8540264,JU LONG JIA YA 10,https://app.skylight.earth/vesseldetails/412209143?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,2,0,0,0,0
"432,927,000",9668427,KAIYOMARU NO51,https://app.skylight.earth/vesseldetails/432927000?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,30,0,0
"432,561,000",9099286,KOUEI-MARU-NO.31,https://app.skylight.earth/vesseldetails/432561000?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,2,0,0
"415,205,152",9308986,LIAN SHUN H5,https://app.skylight.earth/vesseldetails/415205152?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,4,0,0,0,0
"416,002,826",8792752,LIAN YU YU NO.2,https://app.skylight.earth/vesseldetails/416002826?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,3,0,0
"416,003,205",8557475,LIEN YU FA NO66,https://app.skylight.earth/vesseldetails/416003205?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,0,9,0
"416,002,998",8539930,LINE YU FA NO32,https://app.skylight.earth/vesseldetails/416002998?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,1,0
"412,549,135",9895381,LU RONG YUAN YU 303,https://app.skylight.earth/vesseldetails/412549135?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"412,549,136",9895393,LURONGYUANYU305,https://app.skylight.earth/vesseldetails/412549136?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,4,0,0,0,0
"416,002,537",8342181,MAAN YIH NO268,https://app.skylight.earth/vesseldetails/416002537?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,17,0,0
"636,019,823",9884605,MAKEDONIKOS,https://app.skylight.earth/vesseldetails/636019823?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"416,001,414",8546529,MAN YI NO 168,https://app.skylight.earth/vesseldetails/416001414?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,0,0
"636,023,757",9946893,MSC JULIETTE,https://app.skylight.earth/vesseldetails/636023757?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"412,420,469",8782757,NING TAI 26,https://app.skylight.earth/vesseldetails/412420469?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,0,0
"432,364,000",9278040,NO.2YUSHINMARU,https://app.skylight.earth/vesseldetails/432364000?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,2,0,0
"412,420,652",8777556,RUN DA 677,https://app.skylight.earth/vesseldetails/412420652?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,0,0
"412,549,596",1064704,RUN DA 816,https://app.skylight.earth/vesseldetails/412549596?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,0,0
"416,001,519",8530142,SHENG FU YU NO.168,https://app.skylight.earth/vesseldetails/416001519?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,0,3,0
"431,215,000",9992218,SHOSHIN MARU NO.18,https://app.skylight.earth/vesseldetails/431215000?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,3,0,0
"416,003,315",8542808,SHUN YI SIN,https://app.skylight.earth/vesseldetails/416003315?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,0,2,0
"431,000,356",8345119,SHUNYOUMARU NO8,https://app.skylight.earth/vesseldetails/431000356?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"563,304,700",9762534,SIEM CICERO,https://app.skylight.earth/vesseldetails/563304700?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"416,001,447",,SIN DE YI NO.206,https://app.skylight.earth/vesseldetails/416001447?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,13,3,0
"311,000,580",9791212,SOHSHU MARU,https://app.skylight.earth/vesseldetails/311000580?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,1,0,0,0
"211,627,240",9633927,SONNE,https://app.skylight.earth/vesseldetails/211627240?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"219,767,000",1029338,TANGIER MAERSK,https://app.skylight.earth/vesseldetails/219767000?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,0,0
"412,549,267",9974735,XIN HAI 1258,https://app.skylight.earth/vesseldetails/412549267?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,0,0,0
"412,209,136",8540525,XIN HAI 1259,https://app.skylight.earth/vesseldetails/412209136?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,2,0,0
"412,420,954",8786777,XINHAI1201,https://app.skylight.earth/vesseldetails/412420954?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,1,0,0
"412,420,956",8786789,XINHAI1202,https://app.skylight.earth/vesseldetails/412420956?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,1,0,2,0,0
"416,000,146",8546579,YONG YU SING NO.18,https://app.skylight.earth/vesseldetails/416000146?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,0,0
"416,227,600",8530984,YOU JI YI,https://app.skylight.earth/vesseldetails/416227600?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,0,1,0
"412,549,593",1019230,ZHOUYU958,https://app.skylight.earth/vesseldetails/412549593?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z,0,0,1,0,0